source_group,source_table,source_file,column_name,data_type,missing_percentage,unique_values,example_values,numeric_min,numeric_q05,numeric_q25,numeric_median,numeric_q75,numeric_q95,numeric_max,date_min,date_max,likely_semantic_role,timing_classification,possible_leakage_risk,missingness_interpretation,data_quality_concerns
analytical,active_surveillance,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/active_surveillance.parquet,active_surveillance_id,str,0.0,5055,<direct/quasi-identifier values masked>,,,,,,,,,,identifier_or_foreign_key,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,active_surveillance,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/active_surveillance.parquet,active_surveillance_rule_version,str,0.0,1,ACTIVE-SURVEILLANCE-v1.1,,,,,,,,,,categorical_or_descriptive,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,constant or all-missing field
analytical,active_surveillance,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/active_surveillance.parquet,as_eligibility_flag,bool,0.0,2,False | True,,,,,,,,,,indicator,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,active_surveillance,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/active_surveillance.parquet,as_eligibility_reason,str,33.392681,1,localized_low_or_intermediate_risk,,,,,,,,,,categorical_or_descriptive,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,high missingness (33.4%); constant or all-missing field
analytical,active_surveillance,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/active_surveillance.parquet,as_exit_date,datetime64[us],90.801187,404,2023-01-24 | 2024-01-25 | 2025-05-31,,,,,,,,2019-11-09,2025-12-30,temporal,event_time,CONDITIONAL: require date <= analysis/prediction cutoff,collected_but_unavailable_or_unknown,high missingness (90.8%); some date values do not parse
analytical,active_surveillance,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/active_surveillance.parquet,as_exit_reason,str,90.801187,4,progression | grade_reclassification | psa_rise,,,,,,,,,,categorical_or_descriptive,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,high missingness (90.8%)
analytical,active_surveillance,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/active_surveillance.parquet,as_ineligibility_reason,str,66.607319,3,risk_group_not_configured_for_as | age_or_complexity_review | insufficient_grade_evidence,,,,,,,,,,categorical_or_descriptive,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,high missingness (66.6%)
analytical,active_surveillance,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/active_surveillance.parquet,as_reclassification_date,datetime64[us],92.106825,351,2023-01-24 | 2024-01-25 | 2025-05-31,,,,,,,,2019-11-09,2025-12-30,temporal,event_time,CONDITIONAL: require date <= analysis/prediction cutoff,collected_but_unavailable_or_unknown,high missingness (92.1%); some date values do not parse
analytical,active_surveillance,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/active_surveillance.parquet,as_reclassification_event_flag,bool,0.0,2,False | True,,,,,,,,,,indicator,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,active_surveillance,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/active_surveillance.parquet,as_start_date,datetime64[us],65.6182,1189,2023-11-18 | 2022-07-26 | 2021-05-11,,,,,,,,2019-01-17,2024-11-18,temporal,event_time,CONDITIONAL: require date <= analysis/prediction cutoff,collected_but_unavailable_or_unknown,high missingness (65.6%); some date values do not parse
analytical,active_surveillance,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/active_surveillance.parquet,as_status,str,0.0,4,not_started | continued | exited,,,,,,,,,,categorical_or_descriptive,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,active_surveillance,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/active_surveillance.parquet,market_code,str,0.0,7,US | DE | JP,,,,,,,,,,market_or_pathway_segment,baseline,LOW at the documented index,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,active_surveillance,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/active_surveillance.parquet,monitoring_event_count,int64,0.0,22,0 | 6 | 10,0.0,0.0,0.0,0.0,4.0,14.0,21.0,,,numeric_measure,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,active_surveillance,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/active_surveillance.parquet,patient_id,str,0.0,5055,<direct/quasi-identifier values masked>,,,,,,,,,,identifier_or_foreign_key,identifier,LOW at the documented index,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,active_surveillance,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/active_surveillance.parquet,planned_treatment_start_date,datetime64[us],93.254204,308,2023-03-11 | 2025-08-14 | 2021-08-18,,,,,,,,2020-01-14,2025-12-29,temporal,event_time,CONDITIONAL: require date <= analysis/prediction cutoff,collected_but_unavailable_or_unknown,high missingness (93.3%); some date values do not parse
analytical,active_surveillance,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/active_surveillance.parquet,synthetic_event_flag,bool,0.0,1,True,,,,,,,,,,indicator,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,constant or all-missing field
analytical,active_surveillance,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/active_surveillance.parquet,time_from_as_exit_to_treatment_days,float64,93.254204,84,46.0 | 75.0 | 29.0,7.0,12.0,30.0,48.0,68.0,85.0,90.0,,,treatment_or_medication,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,high missingness (93.3%)
analytical,active_surveillance,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/active_surveillance.parquet,transition_to_treatment_flag,bool,0.0,2,False | True,,,,,,,,,,treatment_or_medication,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,adverse_event,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/adverse_event.parquet,adverse_event_date,datetime64[us],0.0,400,2024-07-14 | 2024-12-06 | 2025-12-18,,,,,,,,2019-03-19,2025-12-26,temporal,event_time,CONDITIONAL: require date <= analysis/prediction cutoff,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,adverse_event,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/adverse_event.parquet,adverse_event_id,str,0.0,439,<direct/quasi-identifier values masked>,,,,,,,,,,identifier_or_foreign_key,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,adverse_event,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/adverse_event.parquet,adverse_event_type,str,0.0,6,fatigue | other | neuropathy,,,,,,,,,,categorical_or_descriptive,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,adverse_event,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/adverse_event.parquet,market_code,str,0.0,7,US | DE | JP,,,,,,,,,,market_or_pathway_segment,baseline,LOW at the documented index,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,adverse_event,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/adverse_event.parquet,outcome_model_version,str,0.0,1,OUTCOME-SYN-v2.1,,,,,,,,,,outcome_or_endpoint,outcome_or_post_index,HIGH unless used only as target/descriptive endpoint,collected_but_unavailable_or_unknown,constant or all-missing field
analytical,adverse_event,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/adverse_event.parquet,patient_id,str,0.0,436,<direct/quasi-identifier values masked>,,,,,,,,,,identifier_or_foreign_key,identifier,LOW at the documented index,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,adverse_event,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/adverse_event.parquet,serious_event_flag,bool,0.0,2,True | False,,,,,,,,,,indicator,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,adverse_event,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/adverse_event.parquet,severity,str,0.0,3,mild | moderate | severe,,,,,,,,,,categorical_or_descriptive,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,adverse_event,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/adverse_event.parquet,synthetic_event_flag,bool,0.0,1,True,,,,,,,,,,indicator,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,constant or all-missing field
analytical,adverse_event,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/adverse_event.parquet,treatment_episode_id,str,0.0,439,<direct/quasi-identifier values masked>,,,,,,,,,,identifier_or_foreign_key,identifier,LOW at the documented index,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,diagnosis,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/diagnosis.parquet,castration_resistant_date,datetime64[us],98.15,180,2022-04-05 | 2022-05-08 | 2021-12-09,,,,,,,,2019-01-06,2024-09-27,temporal,event_time,CONDITIONAL: require date <= analysis/prediction cutoff,collected_but_unavailable_or_unknown,high missingness (98.2%); some date values do not parse
analytical,diagnosis,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/diagnosis.parquet,castration_resistant_flag,bool,0.0,2,False | True,,,,,,,,,,indicator,diagnosis,LOW at the documented index,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,diagnosis,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/diagnosis.parquet,clinical_state_model_version,str,0.0,1,CLINICAL-STATE-v2.1,,,,,,,,,,categorical_or_descriptive,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,constant or all-missing field
analytical,diagnosis,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/diagnosis.parquet,data_quality_flag,str,0.0,1,pass,,,,,,,,,,indicator,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,constant or all-missing field
analytical,diagnosis,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/diagnosis.parquet,diagnosis_date,datetime64[us],0.0,2081,2023-05-21 | 2020-04-19 | 2020-10-23,,,,,,,,2019-01-01,2024-09-30,temporal,event_time,CONDITIONAL: require date <= analysis/prediction cutoff,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,diagnosis,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/diagnosis.parquet,diagnosis_id,str,0.0,10000,<direct/quasi-identifier values masked>,,,,,,,,,,identifier_or_foreign_key,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,diagnosis,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/diagnosis.parquet,diagnosis_source,str,0.0,1,synthetic_market_enrichment,,,,,,,,,,categorical_or_descriptive,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,constant or all-missing field
