check,scenario,denominator_n,event_n,rate,interpretation
initiation_window,30_days,2281,275,0.12056115738711091,Observed mHSPC treatment initiation; censor-aware landmark denominator.
initiation_window,60_days,2281,1255,0.5501972818939062,Observed mHSPC treatment initiation; censor-aware landmark denominator.
initiation_window,90_days,2281,1700,0.7452871547566856,Observed mHSPC treatment initiation; censor-aware landmark denominator.
minimum_baseline_observation,180_days,2281,2281,1.0,"Pre-index baseline availability only; zero/low counts mean the sensitivity is not computable, not that patients are clinically ineligible."
minimum_baseline_observation,365_days,2281,1517,0.6650591845681718,"Pre-index baseline availability only; zero/low counts mean the sensitivity is not computable, not that patients are clinically ineligible."
minimum_follow_up,90_days,2281,583,0.25558965366067515,Untreated cohort members remaining observable to the landmark.
minimum_follow_up,180_days,2281,518,0.22709338009644892,Untreated cohort members remaining observable to the landmark.
minimum_follow_up,365_days,2281,494,0.21657167908811925,Untreated cohort members remaining observable to the landmark.
discontinuation_gap,greater_than_30_days,1751,1507,0.8606510565391206,"Any gap-defined persistence failure, including temporary gaps that later restart."
discontinuation_gap,greater_than_60_days,1751,1417,0.8092518560822387,"Any gap-defined persistence failure, including temporary gaps that later restart."
discontinuation_gap,greater_than_90_days,1751,1377,0.7864077669902912,"Any gap-defined persistence failure, including temporary gaps that later restart."
treatment_episode_overlap,start_before_previous_end,2369,0,0.0,No overlap is assumed; every observed overlap is reported.
same_day_episode_ordering,date_line_id_vs_date_id_line,2369,0,0.0,Alternative ordering changes no episode when there are no same-day patient episode starts.
