downstream_analysis,readiness,evidence_or_blocker
Eligibility denominator and untreated gap,READY,Eligibility and 30/60/90 initiation reconcile with normalized tables.
Treatment initiation over time,READY,"Dated first episodes, eligibility dates and censor dates are available."
12-month persistence/discontinuation,READY,Right-censoring and 30/60/90 refill-gap sensitivities are explicit.
"Switch, restart and interruption",READY,Episode transitions and prescription coverage are normalized and dated.
Active-surveillance pathway,READY,AS remains a separate normalized pathway with monitoring and transition fields.
Deep-versus-Scan market EDA,READY,All seven markets and market-depth metadata are present; missingness must remain stratified.
"Referral, specialty and care-setting EDA",READY,Provider-master and referral endpoints reconcile.
Missingness-driver exploration,READY,Aggregate missingness indicators are available; results are descriptive and no imputation is performed.
Descriptive driver associations,PARTIALLY READY,"Feature timing is governed, but synthetic associations are not causal and require sensitivity analysis."
Realised-value analysis,PARTIALLY READY,A synthetic proxy exists; an approved Bayer clinical/business definition remains unresolved.
Causal treatment effectiveness,NOT READY,No randomized or causal identification design; synthetic outcomes cannot estimate effectiveness.
Clinical recommendations or real market sizing,NOT READY,The cohort is synthetic and non-representative by design.
