driver_category,observed_proxy,affected_outcome,segment,evidence_type,association_direction,magnitude,confidence,limitation,required_validation,possible_intervention,owner,success_KPI
administrative,market_code,non_initiated_within_90_days,CN,ASSOCIATED,HIGHER_RISK,OR=3.074 (95% approximate 2.443-3.867),MEDIUM,One-versus-rest descriptive odds ratio with 0.5 continuity correction; not adjusted or causal.,"Reproduce in independent non-synthetic data; review confounding, target validity and segment coding.",Validate access proxy and measure administrative pathway delay,Market Access + Data Strategy,Censor-aware time-to-initiation and missingness by segment
patient,insurance_type,non_initiated_within_90_days,urban_employee,ASSOCIATED,HIGHER_RISK,OR=2.994 (95% approximate 2.150-4.171),MEDIUM,One-versus-rest descriptive odds ratio with 0.5 continuity correction; not adjusted or causal.,"Reproduce in independent non-synthetic data; review confounding, target validity and segment coding.",Validate access proxy and measure administrative pathway delay,Market Access + Data Strategy,Censor-aware time-to-initiation and missingness by segment
patient,insurance_type,discontinued_within_12_months,private,ASSOCIATED,LOWER_RISK,OR=0.526 (95% approximate 0.294-0.943),MEDIUM,One-versus-rest descriptive odds ratio with 0.5 continuity correction; not adjusted or causal.,"Reproduce in independent non-synthetic data; review confounding, target validity and segment coding.",Validate access proxy and measure administrative pathway delay,Market Access + Data Strategy,Censor-aware time-to-initiation and missingness by segment
provider,provider_volume_band,non_initiated_within_90_days,HIGH_GE_300,ASSOCIATED,HIGHER_RISK,OR=1.708 (95% approximate 1.335-2.185),MEDIUM,One-versus-rest descriptive odds ratio with 0.5 continuity correction; not adjusted or causal.,"Reproduce in independent non-synthetic data; review confounding, target validity and segment coding.",Audit pathway handoffs and timestamp completeness in the affected segment,Commercial Operations + Data Strategy,Documented referral/handoff completion and 90-day outcome coverage
provider,care_setting,non_initiated_within_90_days,academic_oncology,ASSOCIATED,HIGHER_RISK,OR=1.299 (95% approximate 1.043-1.618),MEDIUM,One-versus-rest descriptive odds ratio with 0.5 continuity correction; not adjusted or causal.,"Reproduce in independent non-synthetic data; review confounding, target validity and segment coding.",Audit pathway handoffs and timestamp completeness in the affected segment,Commercial Operations + Data Strategy,Documented referral/handoff completion and 90-day outcome coverage
access,access_index,non_initiated_within_90_days,PER_SD,ASSOCIATED,LOWER_RISK,OR=0.777 (95% approximate 0.707-0.854),MEDIUM,Univariate association; confounding and synthetic generation effects remain.,"Reproduce in independent non-synthetic data; review confounding, target validity and segment coding.",Validate access proxy and measure administrative pathway delay,Market Access + Data Strategy,Censor-aware time-to-initiation and missingness by segment
clinical,comorbidity_score,restarted_after_gap,PER_SD,ASSOCIATED,HIGHER_RISK,OR=1.266 (95% approximate 1.071-1.497),MEDIUM,Univariate association; confounding and synthetic generation effects remain.,"Reproduce in independent non-synthetic data; review confounding, target validity and segment coding.",Medical review of proxy definition and confounding; no treatment recommendation,Medical + Data Strategy,Validated eligibility/measurement completeness by segment
clinical,comorbidity_score,non_initiated_within_90_days,PER_SD,ASSOCIATED,HIGHER_RISK,OR=1.186 (95% approximate 1.082-1.301),MEDIUM,Univariate association; confounding and synthetic generation effects remain.,"Reproduce in independent non-synthetic data; review confounding, target validity and segment coding.",Medical review of proxy definition and confounding; no treatment recommendation,Medical + Data Strategy,Validated eligibility/measurement completeness by segment
administrative,market_code,non_initiated_within_90_days,ALL,PREDICTIVE,MODEL_DEPENDENT,Mean PR-AUC drop=0.1004,MEDIUM,"Permutation importance measures predictive dependence, not direction or causality; correlated features share importance.",Repeat on a locked external period and inspect calibration/subgroup stability.,Validate access proxy and measure administrative pathway delay,Market Access + Data Strategy,Censor-aware time-to-initiation and missingness by segment
patient,insurance_type,non_initiated_within_90_days,ALL,PREDICTIVE,MODEL_DEPENDENT,Mean PR-AUC drop=0.0582,MEDIUM,"Permutation importance measures predictive dependence, not direction or causality; correlated features share importance.",Repeat on a locked external period and inspect calibration/subgroup stability.,Validate access proxy and measure administrative pathway delay,Market Access + Data Strategy,Censor-aware time-to-initiation and missingness by segment
clinical,comorbidity_score,restarted_after_gap,ALL,PREDICTIVE,MODEL_DEPENDENT,Mean PR-AUC drop=0.0231,MEDIUM,"Permutation importance measures predictive dependence, not direction or causality; correlated features share importance.",Repeat on a locked external period and inspect calibration/subgroup stability.,Medical review of proxy definition and confounding; no treatment recommendation,Medical + Data Strategy,Validated eligibility/measurement completeness by segment
