feature_name,source_column,baseline_or_post_outcome,allowed_or_excluded,reason,missingness,leakage_risk,clinical_interpretation,proxy_limitation,entered_model_design_matrix
age_at_index,patient.age_at_index,baseline,ALLOWED,Available at index,0.0,LOW,Age at governed index,Synthetic age; not a treatment recommendation,True
age_band,derived from patient.age_at_index,baseline,ALLOWED_SUBGROUP_ONLY,Redundant with continuous age in model,0.0,LOW,Operational age segment,Band boundaries are analytic,False
comorbidity_score,patient.comorbidity_score,baseline,ALLOWED,Available at index,0.0,MEDIUM,Synthetic comorbidity burden,Not a validated clinical index,True
frailty_proxy,patient.frailty_proxy,baseline,ALLOWED,Available at index,0.0,MEDIUM,Synthetic frailty proxy,Not a clinical frailty assessment,True
access_index,patient.access_index,baseline,ALLOWED,Governed feature timing allows prediction,0.0,MEDIUM,Synthetic access proxy,May encode market/scenario generation rules,True
prior_healthcare_utilization_180d,encounter.encounter_date < prediction index,baseline,ALLOWED,Strict pre-index count,0.0,LOW,Encounter count in prior 180 days,Only captured synthetic encounters,True
prior_treatment_count,treatment_episode.start < prediction index,baseline,ALLOWED,Strict pre-index episodes,0.0,LOW,Prior normalized treatment lines,Often zero in initial-treatment cohort,True
prior_treatment_status,derived prior_treatment_count,baseline,ALLOWED,Safe derived category,0.0,LOW,Prior treatment yes/no,Zero variance may limit use,True
disease_state,cohort_patient_flags.pathway_disease_state,baseline,ALLOWED,Governed cohort state at index,0.0,LOW,Disease pathway state,Constant in primary mHSPC model,True
metastatic_site,diagnosis.metastatic_site,baseline,ALLOWED,Available at diagnosis,0.0,MEDIUM,Synthetic metastatic site,Unknown/not-applicable are data categories,True
market_code,patient.market_code,baseline,ALLOWED,Available at index,0.0,MEDIUM,Synthetic market,May capture unmeasured market construction effects,True
care_setting,last encounter/provider available by index,baseline,ALLOWED,No post-index encounter used,0.0,MEDIUM,Care setting proxy,Setting is synthetic and target-stage-specific,True
provider_specialty,last safe provider available by index,baseline,ALLOWED,No provider ID used,0.0,MEDIUM,Provider specialty,May be constant at eligibility,True
provider_volume_band,provider.annual_prostate_volume transformed to band,baseline,ALLOWED,Safe aggregate; provider ID excluded,0.0,MEDIUM,Provider volume band,Fixed analytic bands are not validated capacity thresholds,True
referral_proxy,referral dates/status observed by index,baseline,ALLOWED_STAGE_CONDITIONAL,Initiation referrals after eligibility are excluded; pre-treatment referrals allowed for later targets,0.0,MEDIUM,Referral completion proxy,No causal barrier interpretation,True
prior_hospitalization,pre-index encounter type,baseline,ALLOWED_IF_OBSERVED,Outcome hospitalisation_flag excluded,0.0,HIGH,Prior captured hospital encounter,No qualifying baseline hospital encounter types in primary release,True
insurance_type,patient.insurance_type,baseline,ALLOWED,Available at index,0.032005819239861795,HIGH,Synthetic payer category,Missingness/category meaning differs by market,True
calendar_period,derived prediction index year,baseline,ALLOWED,Available at index,0.0,LOW,Calendar cohort,May reflect simulation version rather than temporal practice,True
time_since_diagnosis_days,prediction index - diagnosis_date,baseline,ALLOWED,Uses dates no later than index,0.0,LOW,Time from diagnosis,Often zero for initiation,True
time_since_metastasis_days,prediction index - metastatic_date,baseline,ALLOWED,Uses dates no later than index,0.0,MEDIUM,Time from metastatic evidence,Synthetic state timing,True
distance_or_rurality,NOT AVAILABLE,baseline,EXCLUDED,No legally/analytically justified field,,HIGH,Potential geographic access factor,Postal prefix is not transformed or used,False
patient_id,all patient-level tables,identifier,EXCLUDED,Identifier; split grouping only,0.0,CRITICAL,Record linkage only,Never a predictor,False
provider_id,encounter/provider tables,identifier,EXCLUDED,Replaced by safe specialty/setting/volume aggregates,,CRITICAL,Provider linkage only,Never a predictor,False
treatment_start_date,treatment_episode,post-outcome for initiation,EXCLUDED_AS_FEATURE,Target/future information for initiation; index only for persistence,,CRITICAL,Treatment timing,Never entered design matrix,False
days_to_initiation,cohort flags/patient_journey,target-derived,EXCLUDED,Directly encodes initiation target,,CRITICAL,Outcome timing,Leakage,False
discontinuation_flag,treatment_episode/patient_journey,post-outcome,EXCLUDED,Target-derived future outcome,,CRITICAL,Documented stop,Leakage,False
switch_flag,treatment_episode/patient_journey,post-outcome,EXCLUDED,Target-derived future outcome,,CRITICAL,Treatment switch,Leakage,False
restart_flag,treatment_episode/patient_journey,post-outcome,EXCLUDED,Target-derived future outcome,,CRITICAL,Treatment restart,Leakage,False
hospitalisation_flag,patient_journey outcome,post-outcome,EXCLUDED,Final outcome flag; only pre-index encounter evidence allowed,,CRITICAL,Hospitalisation outcome,Leakage,False
post_index_encounters,encounter after prediction index,future,EXCLUDED,Strict temporal leakage rule,,CRITICAL,Later utilization,Unavailable at prediction time,False
censor_reason,observation/persistence outputs,post-outcome,EXCLUDED,Used only for risk-set construction,,CRITICAL,Follow-up endpoint,Selection/target construction only,False
