file_name,relative_path,file_type,data_scope,row_count,column_count,database_or_json_objects,file_size_bytes,sha256,analysis_date_utc,suspected_grain,candidate_primary_key,candidate_foreign_keys,patient_identifier_available,event_date_available,inspection_error
DATA_DICTIONARY.csv,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/DATA_DICTIONARY.csv,csv,certified_analytical_dataset,383,14,table; grain; column; dtype; nullable_observed; missing_count; missing_rate; primary_key_flag; foreign_key_target; description; controlled_values; availability_stage; availability_condition; rule_version,92776,17a5a0e26e30c9bc554c08b8b5a8b5713503ce875f3ee38ff735355c75cdaa88,2026-08-28,unknown/reference table; inspect before analytical use,,,False,False,
active_surveillance.csv,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/active_surveillance.csv,csv,certified_analytical_dataset,5055,18,active_surveillance_id; patient_id; market_code; as_eligibility_flag; as_eligibility_reason; as_ineligibility_reason; as_start_date; as_status; as_exit_date; as_exit_reason; as_reclassification_event_flag; as_reclassification_date; transition_to_treatment_flag; planned_treatment_start_date; time_from_as_exit_to_treatment_days; monitoring_event_count; active_surveillance_rule_version; synthetic_event_flag,709287,d93256f3043e994a7466fbdd1fabcc3c5171d7caa465bb665ba9b81090899e91,2026-08-28,one active-surveillance assessment/pathway record,active_surveillance_id,patient_id->patient.patient_id,True,True,
active_surveillance.parquet,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/active_surveillance.parquet,parquet,certified_analytical_dataset,5055,18,active_surveillance_id; patient_id; market_code; as_eligibility_flag; as_eligibility_reason; as_ineligibility_reason; as_start_date; as_status; as_exit_date; as_exit_reason; as_reclassification_event_flag; as_reclassification_date; transition_to_treatment_flag; planned_treatment_start_date; time_from_as_exit_to_treatment_days; monitoring_event_count; active_surveillance_rule_version; synthetic_event_flag,106866,c85324a9b8031c273b1d4f4487c2610715bbf0daac7b3a448a452bc76ad1d0bf,2026-08-28,one active-surveillance assessment/pathway record,active_surveillance_id,patient_id->patient.patient_id,True,True,
adverse_event.csv,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/adverse_event.csv,csv,certified_analytical_dataset,439,10,adverse_event_id; patient_id; market_code; treatment_episode_id; adverse_event_date; adverse_event_type; severity; serious_event_flag; outcome_model_version; synthetic_event_flag,46793,4b9fda52bb4854b6238440ca94c4e5ce9359acb2937fd47c8f71f57ebc042888,2026-08-28,one dated adverse event,adverse_event_id,patient_id->patient.patient_id; treatment_episode_id->treatment_episode.treatment_episode_id,True,True,
adverse_event.parquet,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/adverse_event.parquet,parquet,certified_analytical_dataset,439,10,adverse_event_id; patient_id; market_code; treatment_episode_id; adverse_event_date; adverse_event_type; severity; serious_event_flag; outcome_model_version; synthetic_event_flag,18333,a6a37c215ad774de6364be26a41764a352271f4287a5dbde3eda3565378f084a,2026-08-28,one dated adverse event,adverse_event_id,patient_id->patient.patient_id; treatment_episode_id->treatment_episode.treatment_episode_id,True,True,
diagnosis.csv,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/diagnosis.csv,csv,certified_analytical_dataset,10000,24,diagnosis_id; patient_id; market_code; diagnosis_date; prostate_cancer_flag; prostate_stage; localized_flag; locally_advanced_flag; metastatic_flag; metastatic_date; metastatic_site; hormone_sensitive_flag; hormone_sensitive_confirmation_date; castration_resistant_flag; castration_resistant_date; risk_group; psa_value; gleason_primary_pattern; gleason_secondary_pattern; gleason_score; isup_grade_group; diagnosis_source; clinical_state_model_version; data_quality_flag,1822115,c5da278394b8e4fb38a91a71e1c7b571d381a34b89fc444491e721aeaf56b12f,2026-08-28,one index prostate diagnosis per patient,diagnosis_id,patient_id->patient.patient_id,True,True,
diagnosis.parquet,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/diagnosis.parquet,parquet,certified_analytical_dataset,10000,24,diagnosis_id; patient_id; market_code; diagnosis_date; prostate_cancer_flag; prostate_stage; localized_flag; locally_advanced_flag; metastatic_flag; metastatic_date; metastatic_site; hormone_sensitive_flag; hormone_sensitive_confirmation_date; castration_resistant_flag; castration_resistant_date; risk_group; psa_value; gleason_primary_pattern; gleason_secondary_pattern; gleason_score; isup_grade_group; diagnosis_source; clinical_state_model_version; data_quality_flag,250548,13c87c8ddb04965efdbc1b76fabf5c7a4be51d04e6891961e7bad92dc0f57a35,2026-08-28,one index prostate diagnosis per patient,diagnosis_id,patient_id->patient.patient_id,True,True,
disease_state_event.csv,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/disease_state_event.csv,csv,certified_analytical_dataset,10177,9,disease_state_event_id; patient_id; market_code; state_date; state; previous_state; transition_reason; clinical_state_model_version; synthetic_event_flag,982082,93d35e161ef4c6d0ab678528d63603d8f94f334d16efb22dc4e36f1eacee7f7b,2026-08-28,one dated disease-state event,disease_state_event_id,patient_id->patient.patient_id,True,True,
disease_state_event.parquet,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/disease_state_event.parquet,parquet,certified_analytical_dataset,10177,9,disease_state_event_id; patient_id; market_code; state_date; state; previous_state; transition_reason; clinical_state_model_version; synthetic_event_flag,172460,7d829d828391036136ebf22d76df5a8d7fe713f63917c9d3cee8463e29cec40c,2026-08-28,one dated disease-state event,disease_state_event_id,patient_id->patient.patient_id,True,True,
driver_tree.csv,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/driver_tree.csv,csv,certified_analytical_dataset,72,11,market_code; sequence; node_id; parent_node_id; node_label; count; parent_denominator; conversion_rate; definition; definition_version; caveat,17769,f613dd3c9c4f3abc56b8630041a71e33c6019729e42afa0e519ed8a1c0b19aa5,2026-08-28,unknown/reference table; inspect before analytical use,,,False,False,
