check_id,severity,domain,table_name,check_name,status,affected_records,denominator,affected_rate,observed,expected,analysis_impact
POST_CENSOR_ADVERSE_EVENT,P0,censoring,adverse_event,adverse_event_date is on/before patient censor date,PASS,0,439,0.0,events after censor=0,0 clinically relevant events after censor,Post-censor events introduce immortal-time and chronology errors.
POST_CENSOR_DIAGNOSIS,P0,censoring,diagnosis,diagnosis_date is on/before patient censor date,PASS,0,10000,0.0,events after censor=0,0 clinically relevant events after censor,Post-censor events introduce immortal-time and chronology errors.
POST_CENSOR_DISEASE_STATE_EVENT,P0,censoring,disease_state_event,state_date is on/before patient censor date,PASS,0,10177,0.0,events after censor=0,0 clinically relevant events after censor,Post-censor events introduce immortal-time and chronology errors.
POST_CENSOR_ENCOUNTER,P0,censoring,encounter,encounter_date is on/before patient censor date,PASS,0,76819,0.0,events after censor=0,0 clinically relevant events after censor,Post-censor events introduce immortal-time and chronology errors.
CENSOR_RECONSTRUCTION,P0,censoring,observation,"censor date is min(death, LTFU, administrative end)",PASS,0,10000,0.0,mismatches=0,0 reconstructed censor mismatches,Incorrect censoring biases initiation and persistence denominators.
DATASET_END_NOT_DISCONTINUATION,P0,censoring,patient_journey,administrative dataset end is not an explicit discontinuation,PASS,0,10000,0.0,administrative-end discontinuinations=0,0 administrative end dates labelled as explicit discontinuation,Dataset end must remain right censoring rather than an outcome event.
PERSISTENCE_12M_FOLLOWUP,P0,censoring,patient_journey,12-month persistent requires complete 12-month observation,PASS,0,970,0.0,persistent with insufficient follow-up=0,0 misclassified persistent patients,Misclassifying right-censored patients biases sustained-treatment rates.
POST_CENSOR_PRESCRIPTION_EVENT,P0,censoring,prescription_event,service_date is on/before patient censor date,PASS,0,26306,0.0,events after censor=0,0 clinically relevant events after censor,Post-censor events introduce immortal-time and chronology errors.
POST_CENSOR_REFERRAL,P0,censoring,referral,referral_date is on/before patient censor date,PASS,0,5419,0.0,events after censor=0,0 clinically relevant events after censor,Post-censor events introduce immortal-time and chronology errors.
POST_CENSOR_TREATMENT_EPISODE,P0,censoring,treatment_episode,treatment_start_date is on/before patient censor date,PASS,0,2369,0.0,events after censor=0,0 clinically relevant events after censor,Post-censor events introduce immortal-time and chronology errors.
AGE_RANGE,P0,clinical,patient,calendar age is within configured range,PASS,0,10000,0.0,calendar age range=50-90,completed calendar years between 50 and 90,Invalid age changes eligibility and clinical segmentation.
AGE_RECONSTRUCTION,P0,clinical,patient,stored age equals independently reconstructed calendar age,PASS,0,10000,0.0,mismatches=0,0 mismatches,Age disagreement indicates a derived-mart or eligibility defect.
PATIENT_FK_ACTIVE_SURVEILLANCE,P0,keys,active_surveillance,patient foreign key resolves,PASS,0,5055,0.0,orphan patient rows=0,every patient identifier exists in patient,Orphan events cannot be assigned to a cohort denominator.
PK_ACTIVE_SURVEILLANCE,P0,keys,active_surveillance,primary key non-null and unique,PASS,0,5055,0.0,null=0; duplicate=0,unique non-null active_surveillance_id,A broken primary key prevents trustworthy table grain and joins.
FK_ADVERSE_EVENT_TREATMENT_EPISODE_ID,P0,keys,adverse_event,treatment_episode_id resolves to treatment_episode.treatment_episode_id,PASS,0,439,0.0,orphan non-null values=0,0 orphan foreign keys,Broken entity lineage invalidates normalized-to-mart reconstruction.
PATIENT_FK_ADVERSE_EVENT,P0,keys,adverse_event,patient foreign key resolves,PASS,0,439,0.0,orphan patient rows=0,every patient identifier exists in patient,Orphan events cannot be assigned to a cohort denominator.
PK_ADVERSE_EVENT,P0,keys,adverse_event,primary key non-null and unique,PASS,0,439,0.0,null=0; duplicate=0,unique non-null adverse_event_id,A broken primary key prevents trustworthy table grain and joins.
PATIENT_FK_DIAGNOSIS,P0,keys,diagnosis,patient foreign key resolves,PASS,0,10000,0.0,orphan patient rows=0,every patient identifier exists in patient,Orphan events cannot be assigned to a cohort denominator.
PK_DIAGNOSIS,P0,keys,diagnosis,primary key non-null and unique,PASS,0,10000,0.0,null=0; duplicate=0,unique non-null diagnosis_id,A broken primary key prevents trustworthy table grain and joins.
PATIENT_FK_DISEASE_STATE_EVENT,P0,keys,disease_state_event,patient foreign key resolves,PASS,0,10177,0.0,orphan patient rows=0,every patient identifier exists in patient,Orphan events cannot be assigned to a cohort denominator.
PK_DISEASE_STATE_EVENT,P0,keys,disease_state_event,primary key non-null and unique,PASS,0,10177,0.0,null=0; duplicate=0,unique non-null disease_state_event_id,A broken primary key prevents trustworthy table grain and joins.
PATIENT_FK_ELIGIBILITY,P0,keys,eligibility,patient foreign key resolves,PASS,0,10000,0.0,orphan patient rows=0,every patient identifier exists in patient,Orphan events cannot be assigned to a cohort denominator.
PK_ELIGIBILITY,P0,keys,eligibility,primary key non-null and unique,PASS,0,10000,0.0,null=0; duplicate=0,unique non-null eligibility_id,A broken primary key prevents trustworthy table grain and joins.
FK_ENCOUNTER_ORGANIZATION_ID,P0,keys,encounter,organization_id resolves to organization.organization_id,PASS,0,76819,0.0,orphan non-null values=0,0 orphan foreign keys,Broken entity lineage invalidates normalized-to-mart reconstruction.
FK_ENCOUNTER_PROVIDER_ID,P0,keys,encounter,provider_id resolves to provider.provider_id,PASS,0,76819,0.0,orphan non-null values=0,0 orphan foreign keys,Broken entity lineage invalidates normalized-to-mart reconstruction.
PATIENT_FK_ENCOUNTER,P0,keys,encounter,patient foreign key resolves,PASS,0,76819,0.0,orphan patient rows=0,every patient identifier exists in patient,Orphan events cannot be assigned to a cohort denominator.
PK_ENCOUNTER,P0,keys,encounter,primary key non-null and unique,PASS,0,76819,0.0,null=0; duplicate=0,unique non-null encounter_id,A broken primary key prevents trustworthy table grain and joins.
PK_FEATURE_TIMING,P0,keys,feature_timing,primary key non-null and unique,PASS,0,105,0.0,null=0; duplicate=0,unique non-null feature_metadata_id,A broken primary key prevents trustworthy table grain and joins.
PATIENT_FK_OBSERVATION,P0,keys,observation,patient foreign key resolves,PASS,0,10000,0.0,orphan patient rows=0,every patient identifier exists in patient,Orphan events cannot be assigned to a cohort denominator.
PK_OBSERVATION,P0,keys,observation,primary key non-null and unique,PASS,0,10000,0.0,null=0; duplicate=0,unique non-null observation_id,A broken primary key prevents trustworthy table grain and joins.
PK_ORGANIZATION,P0,keys,organization,primary key non-null and unique,PASS,0,48,0.0,null=0; duplicate=0,unique non-null organization_id,A broken primary key prevents trustworthy table grain and joins.
PATIENT_FK_OUTCOME,P0,keys,outcome,patient foreign key resolves,PASS,0,10000,0.0,orphan patient rows=0,every patient identifier exists in patient,Orphan events cannot be assigned to a cohort denominator.
PK_OUTCOME,P0,keys,outcome,primary key non-null and unique,PASS,0,10000,0.0,null=0; duplicate=0,unique non-null outcome_id,A broken primary key prevents trustworthy table grain and joins.
PATIENT_FK_PATIENT,P0,keys,patient,patient foreign key resolves,PASS,0,10000,0.0,orphan patient rows=0,every patient identifier exists in patient,Orphan events cannot be assigned to a cohort denominator.
PK_PATIENT,P0,keys,patient,primary key non-null and unique,PASS,0,10000,0.0,null=0; duplicate=0,unique non-null patient_id,A broken primary key prevents trustworthy table grain and joins.
PATIENT_FK_PATIENT_JOURNEY,P0,keys,patient_journey,patient foreign key resolves,PASS,0,10000,0.0,orphan patient rows=0,every patient identifier exists in patient,Orphan events cannot be assigned to a cohort denominator.
PK_PATIENT_JOURNEY,P0,keys,patient_journey,primary key non-null and unique,PASS,0,10000,0.0,null=0; duplicate=0,unique non-null patient_id,A broken primary key prevents trustworthy table grain and joins.
PATIENT_FK_PATIENT_SPLIT,P0,keys,patient_split,patient foreign key resolves,PASS,0,10000,0.0,orphan patient rows=0,every patient identifier exists in patient,Orphan events cannot be assigned to a cohort denominator.
PK_PATIENT_SPLIT,P0,keys,patient_split,primary key non-null and unique,PASS,0,10000,0.0,null=0; duplicate=0,unique non-null patient_split_id,A broken primary key prevents trustworthy table grain and joins.
FK_PRESCRIPTION_EVENT_COMPONENT_ID,P0,keys,prescription_event,component_id resolves to treatment_regimen_component.component_id,PASS,0,26306,0.0,orphan non-null values=0,0 orphan foreign keys,Broken entity lineage invalidates normalized-to-mart reconstruction.
FK_PRESCRIPTION_EVENT_REGIMEN_ID,P0,keys,prescription_event,regimen_id resolves to treatment_regimen.regimen_id,PASS,0,26306,0.0,orphan non-null values=0,0 orphan foreign keys,Broken entity lineage invalidates normalized-to-mart reconstruction.
FK_PRESCRIPTION_EVENT_TREATMENT_EPISODE_ID,P0,keys,prescription_event,treatment_episode_id resolves to treatment_episode.treatment_episode_id,PASS,0,26306,0.0,orphan non-null values=0,0 orphan foreign keys,Broken entity lineage invalidates normalized-to-mart reconstruction.
PATIENT_FK_PRESCRIPTION_EVENT,P0,keys,prescription_event,patient foreign key resolves,PASS,0,26306,0.0,orphan patient rows=0,every patient identifier exists in patient,Orphan events cannot be assigned to a cohort denominator.
PK_PRESCRIPTION_EVENT,P0,keys,prescription_event,primary key non-null and unique,PASS,0,26306,0.0,null=0; duplicate=0,unique non-null prescription_event_id,A broken primary key prevents trustworthy table grain and joins.
FK_PROVIDER_ORGANIZATION_ID,P0,keys,provider,organization_id resolves to organization.organization_id,PASS,0,64,0.0,orphan non-null values=0,0 orphan foreign keys,Broken entity lineage invalidates normalized-to-mart reconstruction.
PK_PROVIDER,P0,keys,provider,primary key non-null and unique,PASS,0,64,0.0,null=0; duplicate=0,unique non-null provider_id,A broken primary key prevents trustworthy table grain and joins.
